"Setting Applicability 
(refer to compliance section under Cover tab)",Category,CIS Section Header,CIS #,"CIS Setting Title
(for reference only)",Synapxe Setting Title,Synapxe Remediation Steps,Synapxe Verification Procedure,"Synapxe Exceptions
(Default exceptions to refer to CIS Benchmark)",Change Description / Remarks,"Manual Check 
(Y/N)?",Covered in Script,Notes
New,ADOPT,Configure Integrity Checking,5.3.3,Ensure cryptographic mechanisms are used to protect the integrity of audit tools,Ensure cryptographic mechanisms are used to protect the integrity of audit tools,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.1,Ensure permissions on /etc/passwd are configured,Ensure permissions on /etc/passwd are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.2,Ensure permissions on /etc/passwd- are configured,Ensure permissions on /etc/passwd- are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,System File Permissions,6.1.3,Ensure permissions on /etc/opasswd are configured,Ensure permissions on /etc/opasswd are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.4,Ensure permissions on /etc/group are configured,Ensure permissions on /etc/group are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.5,Ensure permissions on /etc/group- are configured,Ensure permissions on /etc/group- are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.6,Ensure permissions on /etc/shadow are configured,Ensure permissions on /etc/shadow are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.7,Ensure permissions on /etc/shadow- are configured,Ensure permissions on /etc/shadow- are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.8,Ensure permissions on /etc/gshadow are configured,Ensure permissions on /etc/gshadow are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,System File Permissions,6.1.9,Ensure permissions on /etc/gshadow- are configured,Ensure permissions on /etc/gshadow- are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,System File Permissions,6.1.10,Ensure permissions on /etc/shells are configured,Ensure permissions on /etc/shells are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,System File Permissions,6.1.11,Ensure world writable files and directories are secured,Ensure world writable files and directories are secured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,System File Permissions,6.1.12,Ensure no unowned or ungrouped files or directories exist,Ensure no unowned or ungrouped files or directories exist,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Local User and Group Settings,6.2.1,Ensure accounts in /etc/passwd use shadowed passwords,Ensure accounts in /etc/passwd use shadowed passwords,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Local User and Group Settings,6.2.2,Ensure /etc/shadow password fields are not empty,Ensure /etc/shadow password fields are not empty,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Local User and Group Settings,6.2.3,Ensure all groups in /etc/passwd exist in /etc/group,Ensure all groups in /etc/passwd exist in /etc/group,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Local User and Group Settings,6.2.4,Ensure no duplicate UIDs exist,Ensure no duplicate UIDs exist,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Local User and Group Settings,6.2.5,Ensure no duplicate GIDs exist,Ensure no duplicate GIDs exist,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Local User and Group Settings,6.2.6,Ensure no duplicate user names exist,Ensure no duplicate user names exist,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Local User and Group Settings,6.2.7,Ensure no duplicate group names exist,Ensure no duplicate group names exist,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Local User and Group Settings,6.2.8,Ensure root PATH Integrity,Ensure root PATH Integrity,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
Existing,ADOPT,Local User and Group Settings,6.2.9,Ensure root is the only UID 0 account,Ensure root is the only UID 0 account,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Local User and Group Settings,6.2.10,Ensure local interactive user home directories are configured,Ensure local interactive user home directories are configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
New,ADOPT,Local User and Group Settings,6.2.11,Ensure local interactive user dot files access is configured,Ensure local interactive user dot files access is configured,Adopt CIS.,Adopt CIS.,NIL,NIL,N,YES,Implemented in audit/remediation script.
